State,Population Estimates,White,Black or African American,Hispanic or Latino,Asian,American Indian/Alaskan Native,Native Hawaiian/Other Pacific,Two or More Races
Alabama,4863300,65.8,26.8,4.2,1.4,0.7,0.1,1.6
Alaska,741894,61.2,3.8,7.0,6.3,15.2,1.3,7.3
Arizona,6931071,55.5,4.9,30.9,3.4,5.4,0.3,2.8
Arkansas,2988248,72.9,15.7,7.3,1.6,1.0,0.3,2.0
California,39250017,37.7,6.5,38.9,14.8,1.7,0.5,3.8
Colorado,5540545,68.6,4.5,21.3,3.3,1.6,0.2,3.0
Connecticut,3576452,67.7,11.8,15.7,4.7,0.5,0.1,2.3
Delaware,952065,62.9,22.6,9.2,4.0,0.6,0.1,2.6
Florida,20612439,54.9,16.8,24.9,2.9,0.5,0.1,2.1
Georgia,10310371,53.4,32.0,9.4,4.1,0.5,0.1,2.1
Hawaii,1428557,22.1,2.2,10.4,37.7,0.4,10.2,23.7
Idaho,1683140,82.4,0.8,12.3,1.5,1.8,0.2,2.4
Illinois,12801539,61.7,14.7,17.0,5.5,0.6,0.1,1.9
Indiana,6633053,79.6,9.7,6.8,2.2,0.4,0.1,2.0
Iowa,3134693,86.2,3.7,5.8,2.5,0.5,0.1,1.8
Kansas,2907289,76.3,6.2,11.6,3.0,1.2,0.1,2.9
Kentucky,4436974,85.0,8.3,3.5,1.5,0.3,0.1,1.9
Louisiana,4681666,59.0,32.6,5.0,1.8,0.8,0.1,1.6
Maine,1331479,93.5,1.5,1.6,1.2,0.7,0.0,1.7
Maryland,6016447,51.5,30.7,9.8,6.6,0.6,0.1,2.8
Massachusetts,6811779,73.0,8.6,11.5,6.7,0.5,0.1,2.3
Michigan,9928300,75.4,14.2,5.0,3.1,0.7,0.0,2.4
Minnesota,5519952,80.6,6.2,5.2,4.9,1.3,0.1,2.4
Mississippi,2988726,56.9,37.7,3.1,1.1,0.6,0.1,1.2
Missouri,6093000,79.7,11.8,4.1,2.0,0.6,0.1,2.2
Montana,1042520,86.5,0.6,3.6,0.8,6.6,0.1,2.7
Nebraska,1907116,79.6,5.0,10.7,2.5,1.4,0.1,2.1
Nevada,2940058,49.9,9.6,28.5,8.7,1.6,0.8,4.2
New Hampshire,1334795,90.8,1.5,3.5,2.7,0.3,0.1,1.7
New Jersey,8944469,55.8,15.0,20.0,9.8,0.6,0.1,2.2
New Mexico,2081015,38.1,2.5,48.5,1.7000000000000002,10.6,0.2,2.5
New York,19745289,55.8,17.7,19.0,8.9,1.0,0.1,2.5
North Carolina,10146788,63.5,22.2,9.2,2.9,1.6,0.1,2.2
North Dakota,757952,85.0,2.9,3.6000000000000005,1.5,5.5,0.1,2.1
Ohio,11614373,79.5,12.8,3.7000000000000006,2.2,0.3,0.1,2.2
Oklahoma,3923561,66.2,7.8,10.3,2.2,9.2,0.2,6.1
Oregon,4093465,76.4,2.1,12.8,4.5,1.8000000000000003,0.4,3.8
Pennsylvania,12784227,77.0,11.8,7.000000000000001,3.5000000000000004,0.4,0.1,1.9
Rhode Island,1056426,73.3,8.1,14.899999999999999,3.6000000000000005,1.0,0.2,2.7
South Carolina,4961119,63.9,27.500000000000004,5.5,1.6,0.5,0.1,1.8000000000000003
South Dakota,865454,82.5,2.0,3.7000000000000006,1.5,9.0,0.1,2.3
Tennessee,6651194,74.2,17.1,5.2,1.8000000000000003,0.4,0.1,1.9
Texas,27862596,42.6,12.6,39.1,4.8,1.0,0.1,1.9
Utah,3051217,78.8,1.4,13.8,2.5,1.6,1.0,2.5
Vermont,624594,93.1,1.3,1.9,1.8,0.4,0.0,1.9
Virginia,8411808,62.4,19.8,9.1,6.6,0.5,0.1,2.9
Washington,7288000,69.5,4.1,12.4,8.6,1.9,0.8,4.6
West Virginia,1831102,92.3,3.6,1.5,0.8,0.2,0.0,1.7
Wisconsin,5778708,81.7,6.6,6.7,2.8,1.1,0.1,1.9
Wyoming,585501,84.1,1.3,10.0,1.0,2.7,0.1,2.1
